CoC_Code,CoC_Name,Homeless_Count,Sheltered_Count,Unsheltered_Count,Year,State,Area_Name,Total_Pop,Poverty_Count,Unemployed_Count,Vacant_Units,Total_Housing_Units,Rent_Burden_30_35,Rent_Burden_35_40,Rent_Burden_40_50,Rent_Burden_50_Plus,Total_Pop_MOE,Poverty_Count_MOE,Unemployed_Count_MOE,Vacant_Units_MOE,Total_Housing_Units_MOE,Rent_Burden_30_35_MOE,Rent_Burden_35_40_MOE,Rent_Burden_40_50_MOE,Rent_Burden_50_Plus_MOE,Poverty_Rate,Unemployment_Rate,Vacancy_Rate,Rent_Burden_Rate
CA-520,Merced City & County CoC,855.0,487.0,368.0,2022,CA,Merced City & County,282290,51272.0,13272.0,5135,87895,3044.0,2342.0,3208.0,8142.0,0.0,3325.0,984.0,592.0,112.0,445.0,488.0,432.0,718.0,0.18162882142477593,0.04701548053420242,0.058421980772512656,0.059286549293279964
CA-521,"Davis, Woodland/Yolo County CoC",746.0,368.0,378.0,2022,CA,"Davis, Woodland/Yolo County",217141,36521.0,5740.0,4426,80533,2698.0,2143.0,3008.0,11115.0,0.0,2220.0,724.0,515.0,72.0,405.0,406.0,449.0,686.0,0.16819025425875353,0.026434436610313115,0.05495883675015211,0.08733495747003099
CA-522,Humboldt County CoC,1648.0,339.0,1309.0,2022,CA,Humboldt County,136132,26394.0,6162.0,7811,62306,2004.0,1552.0,2636.0,7453.0,0.0,1599.0,686.0,610.0,67.0,399.0,378.0,440.0,704.0,0.19388534657538273,0.04526488995974495,0.12536513337399288,0.10023359680310287
CA-523,"Colusa, Glenn, Trinity Counties CoC",340.0,144.0,196.0,2022,CA,"Colusa, Glenn, Trinity Counties",66357,10156.0,2226.0,4565,27222,495.0,425.0,706.0,1370.0,0.0,1283.9758564708295,355.31113126385446,339.1577803913689,77.20751258783046,167.93153366774212,138.1231334715514,184.0135864549137,266.6945818722233,0.15305092153050923,0.0335458203354582,0.1676952464918081,0.045149720451497205
CA-524,Yuba City & County/Sutter County CoC,1094.0,255.0,839.0,2022,CA,Yuba City & County/Sutter County,180806,25440.0,6021.0,3578,64186,2597.0,1449.0,2554.0,4862.0,0.0,1967.5042566662976,716.1012498243527,491.7977226462115,102.80077820717118,443.8468204234429,293.1552489722809,374.54639232009697,467.39811724053834,0.14070329524462682,0.033300886032543164,0.05574424329292992,0.06339391391878588
CA-525,El Dorado County CoC,511.0,73.0,438.0,2022,CA,El Dorado County,191713,16364.0,4244.0,18489,93679,1599.0,958.0,1843.0,4811.0,0.0,1747.0,502.0,835.0,79.0,324.0,250.0,415.0,613.0,0.08535675723607684,0.0221372572543333,0.19736547145037842,0.04804577676005279
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",625.0,131.0,494.0,2022,CA,"Amador, Calaveras, Mariposa, Tuolumne Counties",158374,17459.0,4543.0,24234,87605,1341.0,1159.0,1592.0,3192.0,0.0,1537.9817944306103,590.1652311005791,962.5123375832644,87.62419757121887,352.17751205890477,319.50743340335606,342.5010948887609,468.93176475901055,0.11023905439024083,0.02868526399535277,0.27662804634438676,0.04599239774205362
CA-527,Tehama County CoC,291.0,73.0,218.0,2022,CA,Tehama County,65484,10483.0,2038.0,2817,27440,439.0,508.0,724.0,1809.0,0.0,1387.0,496.0,409.0,50.0,164.0,239.0,207.0,377.0,0.16008490623663796,0.03112210616333761,0.10266034985422741,0.053142752428074036
CA-529,Lake County CoC,339.0,80.0,259.0,2022,CA,Lake County,68024,11065.0,2948.0,7826,34313,468.0,795.0,603.0,1966.0,0.0,1200.0,463.0,555.0,56.0,213.0,258.0,195.0,309.0,0.16266317770198754,0.04333764553686934,0.22807682219566927,0.05633305892038104
CA-530,"Alpine, Inyo, Mono Counties CoC",140.0,45.0,95.0,2022,CA,"Alpine, Inyo, Mono Counties",33563,3885.0,603.0,10956,24713,576.0,93.0,153.0,559.0,206.0,623.1637024089256,193.1346680427934,447.65388415605196,118.88229472886196,204.2498470011667,52.478567053607705,90.77995373429091,176.70597047072292,0.11575246551261806,0.01796621279385037,0.44332942176182577,0.04114650061079165
CA-601,San Diego City and County CoC,8427.0,4321.0,4106.0,2022,CA,San Diego City and County,3289701,338752.0,106617.0,81192,1230349,48900.0,37001.0,53307.0,148226.0,0.0,8140.0,3612.0,2794.0,579.0,2037.0,1539.0,1982.0,3691.0,0.10297349211980056,0.03240932838577123,0.06599103181292462,0.08737389811414473
CA-602,"Santa Ana, Anaheim/Orange County CoC",5718.0,2661.0,3057.0,2022,CA,"Santa Ana, Anaheim/Orange County",3175227,303810.0,90700.0,64372,1130658,42991.0,31190.0,43296.0,128866.0,0.0,7462.0,2908.0,2608.0,363.0,1634.0,1486.0,1669.0,2987.0,0.0956813481366844,0.028564886856908184,0.056933219417365816,0.07758279959196618
CA-603,Santa Maria/Santa Barbara County CoC,1962.0,595.0,1367.0,2022,CA,Santa Maria/Santa Barbara County,445213,57513.0,13414.0,10775,158807,6462.0,5195.0,6874.0,19113.0,0.0,3095.0,1190.0,767.0,147.0,626.0,563.0,646.0,1006.0,0.12918086399094367,0.03012939873723364,0.06784965398250707,0.08455278709291957
CA-604,Bakersfield/Kern County CoC,1603.0,875.0,728.0,2022,CA,Bakersfield/Kern County,906883,170013.0,32872.0,24188,301687,9224.0,8131.0,11466.0,29157.0,0.0,6132.0,1605.0,1105.0,400.0,858.0,981.0,1111.0,1399.0,0.18746960743557878,0.03624723365638125,0.08017581135415182,0.06393106938822318
CA-606,Long Beach CoC,3296.0,1009.0,2287.0,2022,CA,Long Beach,9936690,1343978.0,365544.0,236468,3599561,161490.0,120923.0,176809.0,526945.0,0.0,16707.0,5798.0,5062.0,639.0,3559.0,2842.0,3371.0,6180.0,0.1352540936670058,0.03678730039882496,0.06569356652102853,0.09924502022303201
